date,closing,adjusted,evolution,quantity,volume
17/11/2021,"1280,00","1280,00","-1,54",1000,1280000
19/11/2021,"1299,00","1299,00","1,48",1,1299
22/11/2021,"1324,00","1324,00","1,92",3,3972
23/11/2021,"1325,00","1325,00","0,08",1,1325
24/11/2021,"1325,00","1325,00","0,00",1,1325
25/11/2021,"1325,00","1325,00","0,00",1,1325
26/11/2021,"1325,00","1325,00","0,00",1,1325
29/11/2021,"1325,00","1325,00","0,00",1,1325
30/11/2021,"1325,00","1325,00","0,00",1,1325
01/12/2021,"1300,00","1300,00","-1,89",2025,2632500
02/12/2021,"1300,00","1300,00","0,00",1,1300
03/12/2021,"1300,00","1300,00","0,00",1,1300
06/12/2021,"1295,00","1295,00","-0,38",1,1295
07/12/2021,"1295,00","1295,00","0,00",1,1295
08/12/2021,"1297,00","1297,00","0,15",1,1297
09/12/2021,"1295,00","1295,00","-0,15",1,1295
10/12/2021,"1319,00","1319,00","1,85",39,51441
13/12/2021,"1319,00","1319,00","0,00",1,1319
14/12/2021,"1319,00","1319,00","0,00",1,1319
15/12/2021,"1319,00","1319,00","0,00",1,1319
16/12/2021,"1319,00","1319,00","0,00",1,1319
17/12/2021,"1319,00","1319,00","0,00",1,1319
20/12/2021,"1319,00","1319,00","0,00",1,1319
21/12/2021,"1319,00","1319,00","0,00",1,1319
22/12/2021,"1319,00","1319,00","0,00",1,1319
23/12/2021,"1319,00","1319,00","0,00",1,1319
24/12/2021,"1319,00","1319,00","0,00",1,1319
27/12/2021,"1319,00","1319,00","0,00",1,1319
28/12/2021,"1344,00","1344,00","1,90",19,25536
29/12/2021,"1370,00","1370,00","1,93",20,27400
30/12/2021,"1290,00","1290,00","-5,84",104,142044
31/12/2021,"1360,00","1360,00","5,43",20,26675
03/01/2022,"1360,00","1360,00","0,00",1,1360
04/01/2022,"1360,00","1360,00","0,00",1,1360
05/01/2022,"1360,00","1360,00","0,00",1,1360
06/01/2022,"1360,00","1360,00","0,00",1,1360
